,,,,,,
,,MFR,MAR,Top-1,Top-3,Top-5
,ProFL,9.48,14.37,161,255,286
,ProFL-C1,13.56,19.89,123,192,207
,ProFL-C2,10.89,15.23,159,254,286
,ProFL-C3,11.01,15.7,161,255,286
,ProFL-C4,14.32,20.01,122,192,207
,ProFL-C5,14.4,19.66,123,192,207
,,,,,,
,,Top-1,Top-3,Top-5,,
,Tarantula,109,165,204,,
,SBFL-Tarantula,62,94,130,,
,Ochiai,161,255,286,,
,SBFL-Ochiai,117,219,259,,
,DStar,165,260,292,,
,SBFL-DStar,123,210,243,,
,,,,,,
,,Top-1,Top-3,Top-5,,
,G0,161,255,286,,
,G1,162,257,296,,
,G2,156,239,270,,
,G3,162,257,296,,
,G4,161,255,286,,
,G5,156,239,270,,
,G6,162,257,296,,
,G7,162,257,296,,
,G8,162,256,295,,
,G9,162,255,295,,
,,,,,,
,,Top-1,Top-3,Top-5,,
,A1,161,255,286,,
,A2,160,254,283,,
,A3,149,244,270,,
,A4,162,256,288,,
,A5,162,256,288,,
,A6,162,256,288,,
,A7,162,256,288,,
,A8,162,256,288,,
,A9,162,256,288,,
,A10,162,256,288,,
,,,,,,
,,Top-1,Top-3,Top-5,MAR,MFR
,V1.4.0,161,255,286,14.37,9.48
,V1.5.0,163,259,292,14,9.5
